Market,Year,KPI,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
UAE,2025,Total Sales,33854541.53,63592261.94,102999559.4,135106906,171921334.1,206658269.4,238209453.5,267750996.8,296306428.8,329970499.9,370546780,415564136
UAE,2025,Transacting Members,80906,134836,193923,243010,297322,344662,388851,427177,457714,490755,531286,577693
ALL,2026,Cross Brand Plus,13200.19161,35984.56995,68370.68291,90702.89918,127125.2874,165120.9922,202298.4854,234917.0598,262404.4024,289865.6318,324578.0412,359845.6995
ALL,2026,New Brand Adopters,46653.39404,87822.09338,143708.8801,172243.7895,213240.4945,252380.023,285223.5831,312005.6551,332579.2512,352616.226,376178.0229,399191.3335
ALL,2026,New Members,76645.42,151541.8077,251790.6351,297184.78,373746.46,446968.08,523185.26,589673.76,647105.62,704987.98,774544.12,846463
ALL,2026,Redeeming Members,40065.76362,76081.95651,115776.8903,135099.1005,169773.3883,201929.0406,230595.8439,252570.553,272519.4337,290519.4869,312441.4321,330791.1153
ALL,2026,Returning Members,126695.44,232293.6051,355948.7685,397844.5,472217.28,537956.36,588681.6,628361.64,659617.86,688834.64,722667.72,752851.22
ALL,2026,Sales Penetration,0.619080471,0.636346727,0.661990948,0.658198939,0.666014524,0.66782927,0.667843786,0.662240835,0.659702162,0.654930308,0.649608297,0.649660343
ALL,2026,Total Sales,64878588.32,137091225.4,233861502.1,276136844.1,349045368.2,418807826.8,482961581.7,541549317.2,596879604.3,658281816.6,730611902.9,806418972.7
ALL,2026,Transacting Members,203340.86,383835.4128,607739.4036,695029.28,845963.74,984924.44,1111866.86,1218035.4,1306723.48,1393822.62,1497211.84,1599314.22
KSA,2026,Cross Brand Plus,4953.140146,14121.94966,32024.21472,40859.04313,57046.74101,74257.70399,91368.00082,106032.4758,119242.0573,132159.7809,148564.4375,163295.0475
KSA,2026,New Brand Adopters,21326.03262,40801.02791,75483.58506,87511.27744,107165.6179,125866.8721,141417.2258,153543.7018,163682.3458,173516.5154,184965.486,194793.9861
KSA,2026,New Members,46346.64879,93574.28865,192739.064,203765.3937,243773.8702,284351.5334,321447.5373,350916.051,376674.3932,399257.8611,424775.5582,443384.6407
